Algorithm,Text Length,Pattern Length,Time (s),Memory (KB)
Suffix Array,100,10,8.249282836914062e-05,11.8427734375
Suffix Tree,100,10,1.5926361083984374e-05,1.15625
FM Index,100,10,1.3279914855957032e-05,1.189453125
Suffix Array,150,10,0.00012476444244384765,20.908203125
Suffix Tree,150,10,1.4328956604003907e-05,0.34375
FM Index,150,10,1.2731552124023437e-05,0.376953125
Suffix Array,200,10,0.00016460418701171874,32.2587890625
Suffix Tree,200,10,1.3852119445800782e-05,0.34375
FM Index,200,10,1.3971328735351563e-05,0.376953125
Suffix Array,250,10,0.00021643638610839843,46.67578125
Suffix Tree,250,10,1.609325408935547e-05,0.34375
FM Index,250,10,1.4138221740722656e-05,0.376953125
Suffix Array,300,10,0.00025920867919921876,64.2998046875
Suffix Tree,300,10,1.5115737915039062e-05,0.37109375
FM Index,300,10,1.3303756713867187e-05,0.431640625
Suffix Array,350,10,0.0003082752227783203,84.591796875
Suffix Tree,350,10,1.4519691467285158e-05,0.37109375
FM Index,350,10,1.4138221740722656e-05,0.431640625
Suffix Array,400,10,0.0003787040710449219,107.3876953125
Suffix Tree,400,10,1.5664100646972657e-05,0.37109375
FM Index,400,10,1.4972686767578124e-05,0.458984375
Suffix Array,450,10,0.0004296302795410156,132.75
Suffix Tree,450,10,1.4328956604003907e-05,0.37109375
FM Index,450,10,1.475811004638672e-05,0.431640625
Suffix Array,500,10,0.0004886627197265625,160.6787109375
Suffix Tree,500,10,1.56402587890625e-05,0.3984375
FM Index,500,10,1.7833709716796874e-05,0.458984375
Suffix Array,550,10,0.000557851791381836,191.173828125
Suffix Tree,550,10,1.52587890625e-05,0.37109375
FM Index,550,10,1.430511474609375e-05,0.525390625
Suffix Array,600,10,0.0006128549575805664,224.2353515625
Suffix Tree,600,10,1.5926361083984374e-05,0.3984375
FM Index,600,10,1.41143798828125e-05,0.525390625
Suffix Array,650,10,0.0006621599197387696,258.48828125
Suffix Tree,650,10,1.4472007751464844e-05,0.3984375
FM Index,650,10,1.4209747314453125e-05,0.458984375
Suffix Array,700,10,0.0007699251174926758,296.5576171875
Suffix Tree,700,10,1.659393310546875e-05,0.3984375
FM Index,700,10,1.4734268188476564e-05,0.525390625
Suffix Array,750,10,0.0008303403854370117,335.693359375
Suffix Tree,750,10,1.4328956604003905e-05,0.37109375
FM Index,750,10,1.5091896057128907e-05,0.525390625
Suffix Array,800,10,0.0009605884552001953,378.8330078125
Suffix Tree,800,10,1.6307830810546876e-05,0.3984375
FM Index,800,10,1.6570091247558594e-05,0.525390625
Suffix Array,850,10,0.0009261369705200195,422.8515625
Suffix Tree,850,10,1.7309188842773436e-05,0.3984375
FM Index,850,10,1.480579376220703e-05,0.525390625
Suffix Array,900,10,0.000987839698791504,471.0615234375
Suffix Tree,900,10,1.4734268188476562e-05,0.3984375
FM Index,900,10,1.4996528625488281e-05,0.525390625
Suffix Array,950,10,0.0008741378784179688,519.962890625
Suffix Tree,950,10,1.6021728515625e-05,0.37109375
FM Index,950,10,1.621246337890625e-05,0.525390625
Suffix Array,1000,10,0.0012195825576782227,573.3056640625
Suffix Tree,1000,10,1.773834228515625e-05,0.3984375
FM Index,1000,10,1.4567375183105467e-05,0.458984375
Suffix Array,1050,10,0.0012190580368041993,627.08984375
Suffix Tree,1050,10,1.52587890625e-05,0.37109375
FM Index,1050,10,1.48773193359375e-05,0.525390625
Suffix Array,1100,10,0.0012683391571044922,683.3154296875
Suffix Tree,1100,10,1.71661376953125e-05,0.3984375
FM Index,1100,10,1.4472007751464844e-05,0.525390625
Suffix Array,1150,10,0.0013735294342041016,744.232421875
Suffix Tree,1150,10,1.583099365234375e-05,0.3984375
FM Index,1150,10,1.6069412231445314e-05,0.525390625
Suffix Array,1200,10,0.0014555215835571288,805.3408203125
Suffix Tree,1200,10,1.604557037353516e-05,0.3984375
FM Index,1200,10,1.6975402832031247e-05,0.525390625
Suffix Array,1250,10,0.0015539169311523438,871.390625
Suffix Tree,1250,10,1.7189979553222655e-05,0.37109375
FM Index,1250,10,1.6069412231445314e-05,0.525390625
Suffix Array,1300,10,0.0016321659088134766,937.5927734375
Suffix Tree,1300,10,1.8095970153808595e-05,0.3984375
FM Index,1300,10,1.5306472778320313e-05,0.525390625
Suffix Array,1350,10,0.0016667604446411132,1005.814453125
Suffix Tree,1350,10,1.461505889892578e-05,0.3984375
FM Index,1350,10,1.71661376953125e-05,0.525390625
Suffix Array,1400,10,0.001820206642150879,1076.6884765625
Suffix Tree,1400,10,1.6641616821289062e-05,0.3984375
FM Index,1400,10,1.6570091247558594e-05,0.458984375
Suffix Array,1450,10,0.0024741172790527345,1152.81640625
Suffix Tree,1450,10,1.9001960754394532e-05,0.4453125
FM Index,1450,10,1.79290771484375e-05,0.525390625
Suffix Array,1500,10,0.0021087169647216798,1228.5732421875
Suffix Tree,1500,10,2.143383026123047e-05,0.3984375
FM Index,1500,10,1.7571449279785157e-05,0.525390625
Suffix Array,1550,10,0.0024121761322021484,1306.982421875
Suffix Tree,1550,10,1.5950202941894533e-05,0.3984375
FM Index,1550,10,1.990795135498047e-05,0.525390625
Suffix Array,1600,10,0.002552914619445801,1390.5986328125
Suffix Tree,1600,10,1.9621849060058593e-05,0.3984375
FM Index,1600,10,1.919269561767578e-05,0.525390625
Suffix Array,1650,10,0.0025985240936279297,1473.6796875
Suffix Tree,1650,10,1.5664100646972657e-05,0.3984375
FM Index,1650,10,1.6283988952636718e-05,0.525390625
Suffix Array,1700,10,0.0024710178375244142,1559.2021484375
Suffix Tree,1700,10,2.186298370361328e-05,0.37109375
FM Index,1700,10,1.8262863159179686e-05,0.525390625
Suffix Array,1750,10,0.0025823831558227537,1647.166015625
Suffix Tree,1750,10,1.986026763916016e-05,0.3984375
FM Index,1750,10,1.8215179443359376e-05,0.525390625
Suffix Array,1800,10,0.0025197505950927735,1741.1337890625
Suffix Tree,1800,10,1.7023086547851564e-05,0.3984375
FM Index,1800,10,1.7976760864257814e-05,0.525390625
Suffix Array,1850,10,0.002833986282348633,1833.98046875
Suffix Tree,1850,10,1.5282630920410155e-05,0.3984375
FM Index,1850,10,1.823902130126953e-05,0.525390625
Suffix Array,1900,10,0.002812504768371582,1929.2685546875
Suffix Tree,1900,10,1.7452239990234372e-05,0.3984375
FM Index,1900,10,2.0313262939453122e-05,0.525390625
Suffix Array,1950,10,0.00214533805847168,2026.998046875
Suffix Tree,1950,10,9.441375732421875e-06,0.4453125
FM Index,1950,10,1.0824203491210937e-05,0.525390625
Suffix Array,2000,10,0.0017904281616210938,2127.2236328125
Suffix Tree,2000,10,9.560585021972657e-06,0.37109375
FM Index,2000,10,1.1587142944335938e-05,0.525390625
Suffix Array,2050,10,0.001833057403564453,2236.5703125
Suffix Tree,2050,10,1.1014938354492188e-05,0.3984375
FM Index,2050,10,1.0228157043457031e-05,0.525390625
Suffix Array,2100,10,0.0020698070526123046,2344.3583984375
Suffix Tree,2100,10,9.84668731689453e-06,0.3984375
FM Index,2100,10,1.0347366333007814e-05,0.525390625
Suffix Array,2150,10,0.001879739761352539,2454.587890625
Suffix Tree,2150,10,1.0561943054199218e-05,0.37109375
FM Index,2150,10,1.1229515075683592e-05,0.525390625
Suffix Array,2200,10,0.002020263671875,2568.3447265625
Suffix Tree,2200,10,9.369850158691406e-06,0.3984375
FM Index,2200,10,1.1086463928222656e-05,0.525390625
Suffix Array,2250,10,0.00197296142578125,2682.37109375
Suffix Tree,2250,10,7.93933868408203e-06,0.3984375
FM Index,2250,10,1.0323524475097656e-05,0.525390625
Suffix Array,2300,10,0.0021259307861328123,2804.4248046875
Suffix Tree,2300,10,9.799003601074219e-06,0.3984375
FM Index,2300,10,1.0442733764648437e-05,0.525390625
Suffix Array,2350,10,0.0021815776824951174,2924.419921875
Suffix Tree,2350,10,1.0085105895996093e-05,0.4453125
FM Index,2350,10,1.2660026550292967e-05,0.525390625
Suffix Array,2400,10,0.0022956371307373048,3046.8564453125
Suffix Tree,2400,10,1.0061264038085938e-05,0.3984375
FM Index,2400,10,1.1563301086425781e-05,0.525390625
Suffix Array,2450,10,0.0023061513900756838,3171.734375
Suffix Tree,2450,10,9.22679901123047e-06,0.3984375
FM Index,2450,10,1.3446807861328125e-05,0.525390625
Suffix Array,2500,10,0.0024076461791992187,3299.0537109375
Suffix Tree,2500,10,1.1801719665527344e-05,0.3984375
FM Index,2500,10,1.1587142944335936e-05,0.525390625
Suffix Array,2550,10,0.0025340795516967775,3428.814453125
Suffix Tree,2550,10,9.775161743164062e-06,0.3984375
FM Index,2550,10,1.1205673217773438e-05,0.525390625
Suffix Array,2600,10,0.0025380849838256836,3566.0791015625
Suffix Tree,2600,10,9.72747802734375e-06,0.3984375
FM Index,2600,10,1.1014938354492188e-05,0.525390625
Suffix Array,2650,10,0.0027208566665649415,3702.095703125
Suffix Tree,2650,10,1.1968612670898438e-05,0.4453125
FM Index,2650,10,1.1944770812988282e-05,0.458984375
Suffix Array,2700,10,0.0028486251831054688,3809.71875
Suffix Tree,2700,10,9.202957153320313e-06,0.3984375
FM Index,2700,10,1.2540817260742188e-05,0.525390625
Suffix Array,2750,10,0.003769707679748535,3977.333984375
Suffix Tree,2750,10,9.250640869140624e-06,0.3984375
FM Index,2750,10,1.2278556823730469e-05,0.525390625
Suffix Array,2800,10,0.003146791458129883,4119.3017578125
Suffix Tree,2800,10,9.322166442871092e-06,0.3984375
FM Index,2800,10,1.1730194091796876e-05,0.525390625
Suffix Array,2850,10,0.0031723737716674804,4263.7109375
Suffix Tree,2850,10,1.068115234375e-05,0.3984375
FM Index,2850,10,1.571178436279297e-05,0.525390625
Suffix Array,2900,10,0.003181743621826172,4416.2490234375
Suffix Tree,2900,10,9.131431579589843e-06,0.3984375
FM Index,2900,10,1.2421607971191405e-05,0.525390625
Suffix Array,2950,10,0.0033771038055419923,4566.626953125
Suffix Tree,2950,10,1.1420249938964845e-05,0.4453125
FM Index,2950,10,1.3065338134765624e-05,0.525390625
Suffix Array,3000,10,0.003411388397216797,4717.2744140625
Suffix Tree,3000,10,1.0824203491210939e-05,0.3984375
FM Index,3000,10,1.5521049499511717e-05,0.525390625
Suffix Array,3050,10,0.0036904573440551757,4871.44921875
Suffix Tree,3050,10,1.0204315185546874e-05,0.3984375
FM Index,3050,10,1.3089179992675781e-05,0.525390625
Suffix Array,3100,10,0.003609299659729004,5028.0654296875
Suffix Tree,3100,10,9.274482727050781e-06,0.3984375
FM Index,3100,10,1.2516975402832031e-05,0.525390625
Suffix Array,3150,10,0.003536415100097656,5187.123046875
Suffix Tree,3150,10,1.0275840759277342e-05,0.3984375
FM Index,3150,10,1.2516975402832031e-05,0.525390625
Suffix Array,3200,10,0.0035816431045532227,5348.6220703125
Suffix Tree,3200,10,1.0275840759277344e-05,0.4453125
FM Index,3200,10,1.895427703857422e-05,0.525390625
Suffix Array,3250,10,0.0047659635543823246,5519.0
Suffix Tree,3250,10,9.107589721679688e-06,0.3984375
FM Index,3250,10,1.2135505676269531e-05,0.525390625
Suffix Array,3300,10,0.0038239240646362306,5685.3818359375
Suffix Tree,3300,10,1.003742218017578e-05,0.3984375
FM Index,3300,10,1.3375282287597657e-05,0.525390625
Suffix Array,3350,10,0.0038158178329467775,5854.205078125
Suffix Tree,3350,10,1.018047332763672e-05,0.3984375
FM Index,3350,10,1.4591217041015624e-05,0.525390625
Suffix Array,3400,10,0.0038904905319213866,6025.4697265625
Suffix Tree,3400,10,9.250640869140624e-06,0.3984375
FM Index,3400,10,1.3518333435058594e-05,0.525390625
Suffix Array,3450,10,0.0038559675216674806,6200.47265625
Suffix Tree,3450,10,1.0204315185546874e-05,0.3984375
FM Index,3450,10,1.4686584472656249e-05,0.525390625
Suffix Array,3500,10,0.01880488395690918,6386.80078125
Suffix Tree,3500,10,9.894371032714844e-06,0.4453125
FM Index,3500,10,1.3709068298339844e-05,2.0625
Suffix Array,3550,10,0.004044079780578613,6553.912109375
Suffix Tree,3550,10,9.822845458984376e-06,0.3984375
FM Index,3550,10,1.8858909606933592e-05,0.525390625
Suffix Array,3600,10,0.004233360290527344,6734.9423828125
Suffix Tree,3600,10,9.775161743164062e-06,0.3984375
FM Index,3600,10,1.3589859008789062e-05,0.525390625
Suffix Array,3650,10,0.0043688535690307615,6918.4140625
Suffix Tree,3650,10,9.441375732421875e-06,0.3984375
FM Index,3650,10,1.5950202941894533e-05,0.525390625
Suffix Array,3700,10,0.004672050476074219,7112.6630859375
Suffix Tree,3700,10,9.5367431640625e-06,0.4453125
FM Index,3700,10,1.3065338134765624e-05,0.525390625
Suffix Array,3750,10,0.004184103012084961,7299.931640625
Suffix Tree,3750,10,9.107589721679688e-06,0.3984375
FM Index,3750,10,1.354217529296875e-05,0.525390625
Suffix Array,3800,10,0.004224300384521484,7490.7275390625
Suffix Tree,3800,10,1.2254714965820312e-05,0.3984375
FM Index,3800,10,1.33514404296875e-05,0.525390625
Suffix Array,3850,10,0.004354691505432129,7683.96484375
Suffix Tree,3850,10,9.298324584960938e-06,0.3984375
FM Index,3850,10,1.5187263488769532e-05,0.525390625
Suffix Array,3900,10,0.004576468467712402,7879.6435546875
Suffix Tree,3900,10,9.22679901123047e-06,0.3984375
FM Index,3900,10,1.5115737915039064e-05,0.525390625
Suffix Array,3950,10,0.01916928291320801,8078.021484375
Suffix Tree,3950,10,9.322166442871094e-06,0.4453125
FM Index,3950,10,1.3470649719238281e-05,0.525390625
Suffix Array,4000,10,0.004773235321044922,8278.3251953125
Suffix Tree,4000,10,9.5367431640625e-06,0.3984375
FM Index,4000,10,1.4448165893554688e-05,0.525390625
Suffix Array,4050,10,0.005056452751159668,8481.328125
Suffix Tree,4050,10,9.274482727050783e-06,0.3984375
FM Index,4050,10,1.659393310546875e-05,0.525390625
Suffix Array,4100,10,0.006254410743713379,8686.7724609375
Suffix Tree,4100,10,1.0037422180175782e-05,0.3984375
FM Index,4100,10,1.3828277587890625e-05,0.525390625
Suffix Array,4150,10,0.005149316787719726,8903.771484375
Suffix Tree,4150,10,9.322166442871094e-06,0.4453125
FM Index,4150,10,1.5521049499511717e-05,0.525390625
Suffix Array,4200,10,0.005526208877563476,9113.1103515625
Suffix Tree,4200,10,1.1610984802246094e-05,0.3984375
FM Index,4200,10,1.6427040100097658e-05,0.525390625
Suffix Array,4250,10,0.006319212913513184,9325.87890625
Suffix Tree,4250,10,1.1229515075683592e-05,0.3984375
FM Index,4250,10,1.4758110046386718e-05,0.525390625
Suffix Array,4300,10,0.005678987503051758,9543.6484375
Suffix Tree,4300,10,1.0156631469726563e-05,0.4453125
FM Index,4300,10,1.5616416931152344e-05,0.525390625
Suffix Array,4350,10,0.005792450904846191,9758.740234375
Suffix Tree,4350,10,1.0728836059570312e-05,0.3984375
FM Index,4350,10,1.71661376953125e-05,0.525390625
Suffix Array,4400,10,0.006748270988464355,9978.8330078125
Suffix Tree,4400,10,1.0204315185546874e-05,0.3984375
FM Index,4400,10,1.5687942504882815e-05,0.525390625
Suffix Array,4450,10,0.0055607080459594725,10201.578125
Suffix Tree,4450,10,9.751319885253906e-06,0.3984375
FM Index,4450,10,1.5091896057128906e-05,0.525390625
Suffix Array,4500,10,0.005601763725280762,10426.6005859375
Suffix Tree,4500,10,1.0657310485839844e-05,0.3984375
FM Index,4500,10,1.5926361083984374e-05,0.525390625
Suffix Array,4550,10,0.005854249000549316,10653.759765625
Suffix Tree,4550,10,9.72747802734375e-06,0.41796875
FM Index,4550,10,1.556873321533203e-05,0.525390625
Suffix Array,4600,10,0.006033706665039063,10883.6181640625
Suffix Tree,4600,10,1.0013580322265625e-05,0.3984375
FM Index,4600,10,1.614093780517578e-05,0.525390625
Suffix Array,4650,10,0.006024599075317383,11125.04296875
Suffix Tree,4650,10,1.3279914855957032e-05,0.3984375
FM Index,4650,10,1.6379356384277344e-05,0.525390625
Suffix Array,4700,10,0.006092381477355957,11359.7841796875
Suffix Tree,4700,10,9.560585021972655e-06,0.4453125
FM Index,4700,10,1.659393310546875e-05,0.525390625
Suffix Array,4750,10,0.006226539611816406,11597.177734375
Suffix Tree,4750,10,1.068115234375e-05,0.37109375
FM Index,4750,10,1.5902519226074216e-05,0.525390625
Suffix Array,4800,10,0.006258630752563476,11836.5908203125
Suffix Tree,4800,10,1.0704994201660156e-05,0.3984375
FM Index,4800,10,1.7189979553222655e-05,0.525390625
Suffix Array,4850,10,0.006175541877746582,12078.65625
Suffix Tree,4850,10,9.918212890624999e-06,0.3984375
FM Index,4850,10,1.6856193542480466e-05,0.525390625
Suffix Array,4900,10,0.006328463554382324,12325.935546875
Suffix Tree,4900,10,9.441375732421875e-06,0.4453125
FM Index,4900,10,1.4996528625488281e-05,0.525390625
Suffix Array,4950,10,0.007015514373779297,12570.111328125
Suffix Tree,4950,10,9.393692016601562e-06,0.3984375
FM Index,4950,10,1.5997886657714842e-05,0.525390625
Suffix Array,5000,10,0.007595610618591308,12819.5009765625
Suffix Tree,5000,10,1.1610984802246094e-05,0.3984375
FM Index,5000,10,1.823902130126953e-05,0.525390625
Suffix Array,5050,10,0.007300853729248047,13071.33203125
Suffix Tree,5050,10,1.010894775390625e-05,0.4453125
FM Index,5050,10,1.654624938964844e-05,0.525390625
Suffix Array,5100,10,0.007137441635131836,13327.2041015625
Suffix Tree,5100,10,9.870529174804689e-06,0.3984375
FM Index,5100,10,1.6427040100097658e-05,0.525390625
Suffix Array,5150,10,0.007267379760742187,13582.318359375
Suffix Tree,5150,10,9.322166442871094e-06,0.3984375
FM Index,5150,10,1.71661376953125e-05,0.525390625
Suffix Array,5200,10,0.006871461868286133,13841.4736328125
Suffix Tree,5200,10,1.0085105895996093e-05,0.3984375
FM Index,5200,10,1.9001960754394532e-05,0.525390625
Suffix Array,5250,10,0.007074284553527832,14113.3828125
Suffix Tree,5250,10,1.0132789611816406e-05,0.41796875
FM Index,5250,10,1.5521049499511717e-05,0.525390625
Suffix Array,5300,10,0.007184553146362305,14377.4208984375
Suffix Tree,5300,10,9.417533874511719e-06,0.3984375
FM Index,5300,10,1.6021728515624997e-05,0.525390625
Suffix Array,5350,10,0.007131004333496093,14643.900390625
Suffix Tree,5350,10,9.22679901123047e-06,0.3984375
FM Index,5350,10,1.7881393432617188e-05,0.525390625
Suffix Array,5400,10,0.00745701789855957,14922.2841796875
Suffix Tree,5400,10,9.369850158691406e-06,0.4453125
FM Index,5400,10,1.7762184143066406e-05,0.525390625
Suffix Array,5450,10,0.007612824440002441,15185.109375
Suffix Tree,5450,10,9.98973846435547e-06,0.3984375
FM Index,5450,10,1.6689300537109375e-05,0.525390625
Suffix Array,5500,10,0.0075625419616699215,15458.1357421875
Suffix Tree,5500,10,1.6140937805175782e-05,0.3984375
FM Index,5500,10,1.7571449279785157e-05,0.525390625
Suffix Array,5550,10,0.007628583908081054,15734.232421875
Suffix Tree,5550,10,9.441375732421875e-06,0.3984375
FM Index,5550,10,1.823902130126953e-05,0.525390625
Suffix Array,5600,10,0.00852811336517334,16016.697265625
Suffix Tree,5600,10,1.5497207641601562e-05,0.4453125
FM Index,5600,10,2.624988555908203e-05,0.525390625
Suffix Array,5650,10,0.013228940963745116,16294.1953125
Suffix Tree,5650,10,1.811981201171875e-05,0.3984375
FM Index,5650,10,2.8920173645019534e-05,0.458984375
Suffix Array,5700,10,0.012203264236450195,16577.6162109375
Suffix Tree,5700,10,5.183219909667969e-05,0.3984375
FM Index,5700,10,2.5105476379394534e-05,0.525390625
Suffix Array,5750,10,0.012490963935852051,16863.626953125
Suffix Tree,5750,10,1.7309188842773436e-05,0.4453125
FM Index,5750,10,2.6035308837890626e-05,0.525390625
Suffix Array,5800,10,0.012193059921264649,17152.0791015625
Suffix Tree,5800,10,1.659393310546875e-05,0.3984375
FM Index,5800,10,2.5677680969238282e-05,0.525390625
Suffix Array,5850,10,0.013425254821777343,17442.97265625
Suffix Tree,5850,10,1.850128173828125e-05,0.4453125
FM Index,5850,10,2.9039382934570312e-05,0.525390625
Suffix Array,5900,10,0.013884639739990235,17748.0185546875
Suffix Tree,5900,10,1.819133758544922e-05,0.3984375
FM Index,5900,10,2.5320053100585938e-05,0.525390625
Suffix Array,5950,10,0.014101696014404298,18046.8662109375
Suffix Tree,5950,10,1.0585784912109375e-05,0.3984375
FM Index,5950,10,1.8382072448730467e-05,0.525390625
Suffix Array,6000,10,0.009927129745483399,18342.0126953125
Suffix Tree,6000,10,9.655952453613281e-06,0.4453125
FM Index,6000,10,1.795291900634766e-05,0.525390625
Suffix Array,6050,10,0.009320449829101563,18642.5234375
Suffix Tree,6050,10,9.965896606445312e-06,0.3984375
FM Index,6050,10,1.9598007202148438e-05,0.525390625
Suffix Array,6100,10,0.008971071243286133,18955.3232421875
Suffix Tree,6100,10,1.049041748046875e-05,0.3984375
FM Index,6100,10,1.9812583923339842e-05,0.525390625
Suffix Array,6150,10,0.008885645866394043,19251.166015625
Suffix Tree,6150,10,1.0323524475097656e-05,0.3984375
FM Index,6150,10,2.205371856689453e-05,0.525390625
Suffix Array,6200,10,0.009227323532104491,19559.1494140625
Suffix Tree,6200,10,9.560585021972655e-06,0.4453125
FM Index,6200,10,2.0742416381835938e-05,0.525390625
Suffix Array,6250,10,0.010026001930236816,19869.72265625
Suffix Tree,6250,10,1.0943412780761718e-05,0.3984375
FM Index,6250,10,1.7833709716796874e-05,0.525390625
Suffix Array,6300,10,0.009062576293945312,20182.4404296875
Suffix Tree,6300,10,9.274482727050781e-06,0.4453125
FM Index,6300,10,2.7394294738769533e-05,0.525390625
Suffix Array,6350,10,0.010124564170837402,20498.833984375
Suffix Tree,6350,10,9.84668731689453e-06,0.3984375
FM Index,6350,10,1.8024444580078124e-05,0.525390625
Suffix Array,6400,10,0.0094329833984375,20815.4970703125
